people_ID,Infect_prob
7067,54.54372196
12032,53.32729897
6376,52.92575125
17141,54.71550302
11071,50.91643935
22980,54.30910456
11617,53.1152646
24732,54.09500637
4918,51.48180801
19255,53.22601105
19457,53.22601105
12259,53.51212372
18662,49.43124788
24827,54.09500637
18640,49.84534955
11354,54.72899788
19335,53.22601105
19821,53.22601105
6978,54.54372196
8377,52.80706695
10518,50.91643935
20757,51.62910377
4563,52.12550207
8276,52.80706695
10252,51.47724919
23319,55.54935127
4073,49.40871424
17070,54.71550302
7822,52.48604905
5667,54.31618283
4099,49.40871424
19101,53.22601105
10728,50.91643935
17029,54.71550302
23281,55.54935127
17426,54.71550302
16404,53.86700614
25124,54.09500637
17908,56.89338046
4049,49.40871424
21369,51.34294744
19569,53.22601105
20621,51.62910377
11822,53.1152646
11732,53.1152646
7460,54.54372196
6981,54.54372196
7200,54.54372196
23217,55.54935127
4127,49.40871424
10161,53.64062107
7207,54.54372196
19764,53.22601105
18424,51.84739646
22883,53.11806502
23578,54.09500637
12386,55.47177569
11767,53.1152646
24651,54.09500637
23128,54.05484272
20159,55.5654291
23749,54.09500637
18290,49.93232307
18487,53.58664894
16501,53.82820773
10714,50.91643935
6469,53.87029061
18429,51.84739646
19555,53.22601105
24226,54.09500637
20990,51.62910377
7916,52.80706695
25211,54.09500637
24251,54.09500637
19739,53.22601105
16812,53.82820773
10821,50.91643935
6661,53.87029061
20480,51.62910377
24440,54.09500637
10886,50.91643935
19499,53.22601105
10768,50.91643935
24706,54.09500637
10370,51.47724919
19352,53.22601105
7245,54.54372196
20042,53.22601105
11216,52.55276826
20763,51.62910377
23622,54.09500637
20695,51.62910377
20940,51.62910377
6834,54.54372196
8013,52.80706695
20707,51.62910377
16547,53.82820773
18130,55.64024562
19228,53.22601105
19775,53.22601105
20558,51.62910377
10905,50.91643935
4067,49.40871424
10614,50.91643935
25159,54.09500637
21284,53.18934891
5817,51.94283427
4111,49.40871424
7605,52.48604905
11289,52.55276826
7555,52.48604905
6620,53.87029061
23638,54.09500637
10605,50.91643935
18499,53.97828084
11696,53.1152646
19312,53.22601105
6392,52.92575125
18056,53.29460518
20949,51.62910377
23327,55.54935127
11270,52.55276826
7563,52.48604905
21065,51.62910377
12508,50.86670231
23187,54.05484272
7530,54.54372196
7754,52.48604905
18092,52.72968543
20145,53.22601105
23748,54.09500637
6531,53.87029061
6294,54.10638939
11610,53.1152646
24674,54.09500637
11963,53.32729897
23884,54.09500637
20531,51.62910377
8325,52.80706695
17933,53.20581598
11255,52.55276826
24996,54.09500637
8727,50.95378931
4620,52.12550207
4530,52.12550207
10671,50.91643935
10593,50.91643935
20768,51.62910377
11266,52.55276826
6464,53.87029061
24791,54.09500637
16934,53.82820773
20448,51.62910377
8707,50.95378931
21268,53.18934891
24374,54.09500637
4055,49.40871424
10679,50.91643935
19543,53.22601105
23219,55.54935127
7417,54.54372196
10846,50.91643935
11986,53.32729897
6510,53.87029061
10775,50.91643935
7553,52.48604905
11341,54.72899788
20654,51.62910377
21297,53.18934891
23238,55.54935127
22771,55.02428121
5580,52.61792804
10205,51.47724919
25191,54.09500637
12062,53.32729897
10255,51.47724919
24382,54.09500637
23009,54.05484272
8177,52.80706695
16436,53.82820773
8228,52.80706695
4538,52.12550207
19611,53.22601105
23671,54.09500637
12312,53.51212372
22901,53.51946337
4987,51.48180801
8402,52.80706695
11186,51.58406331
6043,52.67563958
24536,54.09500637
8365,52.80706695
11214,52.55276826
18611,58.38352161
23195,54.05484272
16724,53.82820773
11981,53.32729897
7085,54.54372196
6567,53.87029061
6836,54.54372196
23256,55.54935127
21129,51.62910377
11308,54.72899788
25145,54.09500637
20874,51.62910377
7404,54.54372196
7175,54.54372196
10798,50.91643935
5383,52.26300686
7727,52.48604905
17664,49.62736538
17616,49.99506874
21048,51.62910377
20232,51.62910377
6584,53.87029061
10207,51.47724919
10911,50.91643935
7686,52.48604905
24869,54.09500637
4841,52.12550207
5320,51.36604259
20575,51.62910377
12452,53.30126074
5491,52.51474546
4703,52.12550207
10445,51.47724919
22803,55.02428121
19711,53.22601105
22914,53.51946337
23890,54.09500637
11762,53.1152646
21079,51.62910377
17105,54.71550302
23269,55.54935127
19582,53.22601105
24502,54.09500637
11193,51.58406331
22777,55.02428121
23031,54.05484272
4179,49.40871424
8572,52.80706695
12464,53.30126074
25165,54.09500637
18127,55.93575272
18872,49.11524649
4160,49.40871424
10292,51.47724919
10726,50.91643935
17412,54.71550302
16779,53.82820773
17406,54.71550302
18199,50.99285814
7484,54.54372196
11420,54.72899788
24770,54.09500637
7133,54.54372196
18525,55.18596704
19209,53.22601105
19550,53.22601105
10368,51.47724919
7403,54.54372196
4907,51.48180801
17453,54.71550302
19174,53.22601105
16748,53.82820773
10124,56.00267744
12162,53.32729897
4701,52.12550207
23868,54.09500637
16456,53.82820773
8108,52.80706695
17530,52.71067595
7540,52.905008
10547,50.91643935
21331,53.18934891
20319,51.62910377
19025,49.20980709
11294,52.55276826
11014,50.91643935
6062,51.64566741
4027,48.27233132
24578,54.09500637
21343,53.18934891
21315,53.18934891
19130,53.22601105
23139,54.05484272
7041,54.54372196
4501,52.12550207
5506,51.91471009
23410,55.54935127
10789,50.91643935
7968,52.80706695
19175,53.22601105
23358,55.54935127
8588,52.80706695
6742,54.54372196
19283,53.22601105
19661,53.22601105
8284,52.80706695
11584,53.1152646
7297,54.54372196
8743,50.95378931
16963,53.82820773
5588,52.61792804
18632,53.85087707
6463,53.87029061
24703,54.09500637
23565,54.09500637
24847,54.09500637
20731,51.62910377
24992,54.09500637
18357,55.19501931
19125,53.22601105
16785,53.82820773
8085,52.80706695
24616,54.09500637
8161,52.80706695
19737,53.22601105
11250,52.55276826
6886,54.54372196
7308,54.54372196
21276,53.18934891
6568,53.87029061
19745,53.22601105
24364,54.09500637
6026,52.58095286
18054,53.29460518
19670,53.22601105
16609,53.82820773
19389,53.22601105
17624,49.99506874
22894,53.51946337
17100,54.71550302
10618,50.91643935
16365,51.3234334
22836,53.11806502
5836,48.45249445
17107,54.71550302
17754,51.77693958
24026,54.09500637
20311,51.62910377
11024,50.91643935
4850,52.12550207
18584,51.46048491
18494,53.93720486
7170,54.54372196
7570,52.48604905
8763,50.95378931
19311,53.22601105
5699,53.91981766
17990,53.58090961
8657,52.80706695
8337,52.80706695
7655,52.48604905
12238,53.32729897
11415,54.72899788
23670,54.09500637
12467,53.30126074
6008,51.63369036
7212,54.54372196
4297,49.40871424
4696,52.12550207
10151,53.64062107
24101,54.09500637
20524,51.62910377
21252,51.62910377
24448,54.09500637
20544,51.62910377
17186,54.71550302
7069,54.54372196
25123,54.09500637
20523,51.62910377
8573,52.80706695
22985,54.30910456
17965,53.20581598
17114,54.71550302
16534,53.82820773
21260,51.62910377
18736,52.90312246
16339,54.42588435
12320,53.51212372
18360,49.64801108
22900,53.51946337
17263,54.71550302
4079,49.40871424
17867,55.83797044
6889,54.54372196
8696,50.95378931
19774,53.22601105
4767,52.12550207
12042,53.32729897
17545,53.9503621
19526,53.22601105
19495,53.22601105
17237,54.71550302
19571,53.22601105
11473,54.72899788
10555,50.91643935
18678,51.52920575
5845,50.18228968
22763,55.02428121
24163,54.09500637
8617,52.80706695
20449,51.62910377
4232,49.40871424
23517,55.54935127
25168,54.09500637
16693,53.82820773
23902,54.09500637
16562,53.82820773
18483,53.58664894
12174,53.32729897
12216,53.32729897
8396,52.80706695
5719,54.38605183
18141,55.64024562
19112,53.22601105
6959,54.54372196
4909,51.48180801
6809,54.54372196
21310,53.18934891
11595,53.1152646
19019,49.20980709
20848,51.62910377
12513,50.86670231
23282,55.54935127
24463,54.09500637
7980,52.80706695
21258,51.62910377
20660,51.62910377
6732,54.54372196
17954,53.20581598
22858,53.11806502
18200,50.99285814
4901,51.48180801
16372,53.86700614
20030,53.22601105
24038,54.09500637
7590,52.48604905
4327,50.24283297
19980,53.22601105
12378,55.47177569
24740,54.09500637
10573,50.91643935
22988,54.30910456
19221,53.22601105
17146,54.71550302
21167,51.62910377
8376,52.80706695
5051,51.48180801
17760,51.77693958
6828,54.54372196
19328,53.22601105
24812,54.09500637
20209,51.62910377
8031,52.80706695
7990,52.80706695
8628,52.80706695
18683,51.52920575
25013,54.09500637
24917,54.09500637
4472,50.24283297
4506,52.12550207
20574,51.62910377
4527,52.12550207
4384,50.24283297
23041,54.05484272
24758,54.09500637
4014,48.27233132
18802,50.37452148
20104,53.22601105
4560,52.12550207
11893,53.32729897
19158,53.22601105
7942,52.80706695
25163,54.09500637
6666,53.87029061
11257,52.55276826
6806,54.54372196
6539,53.87029061
7197,54.54372196
4004,48.27233132
20174,51.62910377
7687,52.48604905
7485,54.54372196
23080,54.05484272
17362,54.71550302
23123,54.05484272
6098,51.12293261
19548,53.22601105
17581,49.96611654
24130,54.09500637
18373,49.64801108
19822,53.22601105
19052,49.20980709
17472,52.71067595
24057,54.09500637
4587,52.12550207
4318,50.24283297
20750,51.62910377
7582,52.48604905
11496,54.72899788
6158,49.31125539
3914,49.29498673
24444,54.09500637
18338,57.0586484
17810,53.05694693
18913,49.20980709
20762,51.62910377
12210,53.32729897
16921,53.82820773
18266,48.74345246
20309,51.62910377
7599,52.48604905
4966,51.48180801
17930,54.47358139
10657,50.91643935
24354,54.09500637
17953,53.20581598
10599,50.91643935
10873,50.91643935
5883,50.28559626
12305,53.51212372
4800,52.12550207
17720,50.33175287
21034,51.62910377
20482,51.62910377
17257,54.71550302
24857,54.09500637
18307,54.93592313
7158,54.54372196
23825,54.09500637
16437,53.82820773
16744,53.82820773
24602,54.09500637
5939,51.92302907
11547,54.72899788
17062,54.71550302
8752,50.95378931
5251,55.81740625
18203,50.99285814
19771,53.22601105
4360,50.24283297
22913,53.51946337
6977,54.54372196
5328,51.36604259
12362,55.47177569
20884,51.62910377
4197,49.40871424
4163,49.40871424
10383,51.47724919
17438,54.71550302
17119,54.71550302
3948,48.27233132
19013,49.20980709
11910,53.32729897
3971,48.27233132
8098,52.80706695
19122,53.22601105
20321,51.62910377
11834,53.1152646
17623,49.99506874
20908,51.62910377
7805,52.48604905
5225,58.64192447
24217,54.09500637
23115,54.05484272
18151,54.35771106
7268,54.54372196
20800,51.62910377
7676,52.48604905
20958,51.62910377
7721,52.48604905
16407,53.86700614
7340,54.54372196
8592,52.80706695
20447,51.62910377
4364,50.24283297
20089,53.22601105
19787,53.22601105
17091,54.71550302
4755,52.12550207
12133,53.32729897
23623,54.09500637
4923,51.48180801
11273,52.55276826
5914,50.36779475
5859,51.25832975
6466,53.87029061
16574,53.82820773
22757,55.02428121
10087,54.95130794
19023,49.20980709
19515,53.22601105
8613,52.80706695
11393,54.72899788
20064,53.22601105
6222,53.36289306
6904,54.54372196
7841,52.48604905
17807,53.05694693
20932,51.62910377
7576,52.48604905
10850,50.91643935
19500,53.22601105
12497,53.30126074
10579,50.91643935
8441,52.80706695
4034,48.27233132
11232,52.55276826
17150,54.71550302
16489,53.82820773
18748,53.88916212
16671,53.82820773
6528,53.87029061
18088,52.72968543
19001,49.20980709
10129,56.00267744
17605,49.99506874
8421,52.80706695
8264,52.80706695
10463,51.47724919
16390,53.86700614
8631,52.80706695
23540,54.09500637
16360,51.3234334
10636,50.91643935
23541,54.09500637
20018,53.22601105
22923,53.51946337
12330,53.51212372
24924,54.09500637
21171,51.62910377
24849,54.09500637
19679,53.22601105
11707,53.1152646
11046,50.91643935
22928,53.51946337
10285,51.47724919
7887,52.48604905
4278,49.40871424
6272,54.10638939
24353,54.09500637
20584,51.62910377
8520,52.80706695
20207,51.62910377
8191,52.80706695
4980,51.48180801
18235,48.86079889
5979,52.42298685
11714,53.1152646
8022,52.80706695
8087,52.80706695
19146,53.22601105
21186,51.62910377
25047,54.09500637
12052,53.32729897
10787,50.91643935
16678,53.82820773
11041,50.91643935
10689,50.91643935
10607,50.91643935
10832,50.91643935
10721,50.91643935
10238,51.47724919
19672,53.22601105
7289,54.54372196
19561,53.22601105
7449,54.54372196
4651,52.12550207
3889,49.29498673
6091,51.12293261
20131,53.22601105
5271,50.38581849
12234,53.32729897
18995,49.20980709
23948,54.09500637
24436,54.09500637
18390,51.36732333
18025,53.67336676
8041,52.80706695
5524,51.7319418
24550,54.09500637
5469,49.70583137
20256,51.62910377
12405,53.30126074
7288,54.54372196
7475,54.54372196
16529,53.82820773
20965,51.62910377
12057,53.32729897
4510,52.12550207
4883,52.12550207
4036,48.27233132
24032,54.09500637
10810,50.91643935
24330,54.09500637
8274,52.80706695
10125,56.00267744
18955,49.20980709
20801,51.62910377
18975,49.20980709
19442,53.22601105
25087,54.09500637
6220,54.0240026
24737,54.09500637
17778,49.95442818
6677,53.87029061
6232,53.41939656
10557,50.91643935
18609,58.38352161
10361,51.47724919
23914,54.09500637
11657,53.1152646
