,people_ID,Infect_Prob
0,5942,53.032768586266165
1,18664,51.7504199435276
2,5603,52.17437876550808
3,5649,52.06104492986742
4,5099,52.25595395879628
5,18749,51.938657873061786
6,5228,51.2162436396824
7,5559,52.3217713541545
8,5220,52.45440604561381
9,5476,52.17343447064661
10,5260,52.25661463965842
11,17638,52.45281900227594
12,18635,51.52465890816324
13,18794,63.365571723228484
14,5263,50.5357751856189
15,17680,64.0556884934537
16,18030,51.60733423941796
17,18090,51.65779000500511
18,18455,50.79722324424808
19,18155,51.938697397332774
20,18116,63.634104119135216
21,18144,51.733882811382855
22,5218,63.543097068809665
23,5386,52.33937566530048
24,18105,62.25580662457557
25,5735,51.191117537564025
26,5900,51.46680486245837
27,18391,51.53431486038045
28,5786,51.226968341849
29,18639,51.65700957835752
30,17984,52.251835924992925
31,18274,51.266725710589284
32,5425,51.97572081869568
33,6076,52.17362110425147
34,18545,51.42531765806235
35,17697,64.29431044101591
36,6137,51.565821333632144
37,6083,52.5960106632448
38,17730,52.17879470047846
39,5896,62.87606198273569
40,18906,52.336121533608335
41,17808,52.55767788016149
42,6078,52.063118272696556
43,5516,50.63783102480312
44,18093,51.56530580841901
45,6120,51.78844627784852
46,18154,51.96594629492482
47,17935,51.78289519074881
48,18769,63.84220941582876
49,18264,51.76748970789213
50,18076,49.07586278964563
51,18035,51.74649574296174
52,18051,51.5258938202015
53,18676,51.49883089357263
54,5332,50.83898540622997
55,5898,64.1846133231262
56,18370,52.726350716975126
57,17706,51.49292498769098
58,5198,52.870190829906285
59,18360,52.27923497955773
60,18240,52.386094810135845
61,18691,51.29262723426662
62,5768,51.90757374574339
63,18315,50.98958306844173
64,18776,52.80496652381257
65,6225,51.94642045452593
66,17983,63.82788963215211
67,17973,53.29822102540064
68,5805,63.27113765131748
69,5500,52.70108543018964
70,5305,52.31594052419267
71,18243,52.35980425967145
72,5169,52.34778974986297
73,5258,53.0108104903122
74,17810,63.99834414413773
75,5714,52.13144386772217
